,Flight Number,Onward/Return,Companies,Destination From,Destination to,Departure time,Arrival Time,Ticket Type,Class,Currency,Base Fare,Airline Taxes,Total Amount
330,831,Return,Qatar Airways,BKK,DOH,2015-10-30T0835,2015-10-30T1135,E,N,SGD,614.0,231.0,845.0
331,1016,Return,Qatar Airways,DOH,DXB,2015-10-30T1300,2015-10-30T1510,E,N,SGD,614.0,231.0,845.0
332,1017,Onward,Qatar Airways,DXB,DOH,2015-10-22T1630,2015-10-22T1640,E,N,SGD,614.0,231.0,845.0
333,830,Onward,Qatar Airways,DOH,BKK,2015-10-22T2100,2015-10-23T0725,E,N,SGD,614.0,231.0,845.0
334,833,Return,Qatar Airways,BKK,DOH,2015-10-30T2045,2015-10-30T2355,E,N,SGD,614.0,231.0,845.0
335,1002,Return,Qatar Airways,DOH,DXB,2015-10-31T0100,2015-10-31T0310,E,N,SGD,614.0,231.0,845.0
336,1017,Onward,Qatar Airways,DXB,DOH,2015-10-22T1630,2015-10-22T1640,E,N,SGD,614.0,231.0,845.0
337,830,Onward,Qatar Airways,DOH,BKK,2015-10-22T2100,2015-10-23T0725,E,N,SGD,614.0,231.0,845.0
338,833,Return,Qatar Airways,BKK,DOH,2015-10-30T2045,2015-10-30T2355,E,N,SGD,614.0,231.0,845.0
339,1032,Return,Qatar Airways,DOH,DWC,2015-10-31T0135,2015-10-31T0340,E,N,SGD,614.0,231.0,845.0
340,1017,Onward,Qatar Airways,DXB,DOH,2015-10-22T1630,2015-10-22T1640,E,N,SGD,614.0,231.0,845.0
341,830,Onward,Qatar Airways,DOH,BKK,2015-10-22T2100,2015-10-23T0725,E,N,SGD,614.0,231.0,845.0
342,835,Return,Qatar Airways,BKK,DOH,2015-10-30T1955,2015-10-30T2255,E,N,SGD,614.0,231.0,845.0
343,1002,Return,Qatar Airways,DOH,DXB,2015-10-31T0100,2015-10-31T0310,E,N,SGD,614.0,231.0,845.0
344,1017,Onward,Qatar Airways,DXB,DOH,2015-10-22T1630,2015-10-22T1640,E,N,SGD,614.0,231.0,845.0
345,830,Onward,Qatar Airways,DOH,BKK,2015-10-22T2100,2015-10-23T0725,E,N,SGD,614.0,231.0,845.0
346,835,Return,Qatar Airways,BKK,DOH,2015-10-30T1955,2015-10-30T2255,E,N,SGD,614.0,231.0,845.0
347,1020,Return,Qatar Airways,DOH,DXB,2015-10-30T2359,2015-10-31T0210,E,N,SGD,614.0,231.0,845.0
348,1017,Onward,Qatar Airways,DXB,DOH,2015-10-22T1630,2015-10-22T1640,E,N,SGD,614.0,231.0,845.0
349,830,Onward,Qatar Airways,DOH,BKK,2015-10-22T2100,2015-10-23T0725,E,N,SGD,614.0,231.0,845.0
350,837,Return,Qatar Airways,BKK,DOH,2015-10-30T0140,2015-10-30T0440,E,N,SGD,614.0,231.0,845.0
351,1024,Return,Qatar Airways,DOH,DXB,2015-10-30T0600,2015-10-30T0810,E,N,SGD,614.0,231.0,845.0
352,1017,Onward,Qatar Airways,DXB,DOH,2015-10-22T1630,2015-10-22T1640,E,N,SGD,614.0,231.0,845.0
353,830,Onward,Qatar Airways,DOH,BKK,2015-10-22T2100,2015-10-23T0725,E,N,SGD,614.0,231.0,845.0
354,837,Return,Qatar Airways,BKK,DOH,2015-10-30T0140,2015-10-30T0440,E,N,SGD,614.0,231.0,845.0
355,1028,Return,Qatar Airways,DOH,DWC,2015-10-30T0550,2015-10-30T0755,E,N,SGD,614.0,231.0,845.0
356,1019,Onward,Qatar Airways,DXB,DOH,2015-10-22T2230,2015-10-22T2240,E,N,SGD,614.0,231.0,845.0
357,836,Onward,Qatar Airways,DOH,BKK,2015-10-23T0215,2015-10-23T1240,E,N,SGD,614.0,231.0,845.0
358,831,Return,Qatar Airways,BKK,DOH,2015-10-30T0835,2015-10-30T1135,E,N,SGD,614.0,231.0,845.0
359,1016,Return,Qatar Airways,DOH,DXB,2015-10-30T1300,2015-10-30T1510,E,N,SGD,614.0,231.0,845.0
360,1019,Onward,Qatar Airways,DXB,DOH,2015-10-22T2230,2015-10-22T2240,E,N,SGD,614.0,231.0,845.0
361,836,Onward,Qatar Airways,DOH,BKK,2015-10-23T0215,2015-10-23T1240,E,N,SGD,614.0,231.0,845.0
362,833,Return,Qatar Airways,BKK,DOH,2015-10-30T2045,2015-10-30T2355,E,N,SGD,614.0,231.0,845.0
363,1002,Return,Qatar Airways,DOH,DXB,2015-10-31T0100,2015-10-31T0310,E,N,SGD,614.0,231.0,845.0
364,1019,Onward,Qatar Airways,DXB,DOH,2015-10-22T2230,2015-10-22T2240,E,N,SGD,614.0,231.0,845.0
365,836,Onward,Qatar Airways,DOH,BKK,2015-10-23T0215,2015-10-23T1240,E,N,SGD,614.0,231.0,845.0
366,833,Return,Qatar Airways,BKK,DOH,2015-10-30T2045,2015-10-30T2355,E,N,SGD,614.0,231.0,845.0
367,1004,Return,Qatar Airways,DOH,DXB,2015-10-31T0200,2015-10-31T0410,E,N,SGD,614.0,231.0,845.0
368,1019,Onward,Qatar Airways,DXB,DOH,2015-10-22T2230,2015-10-22T2240,E,N,SGD,614.0,231.0,845.0
369,836,Onward,Qatar Airways,DOH,BKK,2015-10-23T0215,2015-10-23T1240,E,N,SGD,614.0,231.0,845.0
370,833,Return,Qatar Airways,BKK,DOH,2015-10-30T2045,2015-10-30T2355,E,N,SGD,614.0,231.0,845.0
371,1032,Return,Qatar Airways,DOH,DWC,2015-10-31T0135,2015-10-31T0340,E,N,SGD,614.0,231.0,845.0
372,1019,Onward,Qatar Airways,DXB,DOH,2015-10-22T2230,2015-10-22T2240,E,N,SGD,614.0,231.0,845.0
373,836,Onward,Qatar Airways,DOH,BKK,2015-10-23T0215,2015-10-23T1240,E,N,SGD,614.0,231.0,845.0
374,835,Return,Qatar Airways,BKK,DOH,2015-10-30T1955,2015-10-30T2255,E,N,SGD,614.0,231.0,845.0
375,1002,Return,Qatar Airways,DOH,DXB,2015-10-31T0100,2015-10-31T0310,E,N,SGD,614.0,231.0,845.0
376,1019,Onward,Qatar Airways,DXB,DOH,2015-10-22T2230,2015-10-22T2240,E,N,SGD,614.0,231.0,845.0
377,836,Onward,Qatar Airways,DOH,BKK,2015-10-23T0215,2015-10-23T1240,E,N,SGD,614.0,231.0,845.0
378,835,Return,Qatar Airways,BKK,DOH,2015-10-30T1955,2015-10-30T2255,E,N,SGD,614.0,231.0,845.0
379,1020,Return,Qatar Airways,DOH,DXB,2015-10-30T2359,2015-10-31T0210,E,N,SGD,614.0,231.0,845.0
380,1019,Onward,Qatar Airways,DXB,DOH,2015-10-22T2230,2015-10-22T2240,E,N,SGD,614.0,231.0,845.0
381,836,Onward,Qatar Airways,DOH,BKK,2015-10-23T0215,2015-10-23T1240,E,N,SGD,614.0,231.0,845.0
382,837,Return,Qatar Airways,BKK,DOH,2015-10-30T0140,2015-10-30T0440,E,N,SGD,614.0,231.0,845.0
383,1000,Return,Qatar Airways,DOH,DXB,2015-10-30T0700,2015-10-30T0910,E,N,SGD,614.0,231.0,845.0
384,1019,Onward,Qatar Airways,DXB,DOH,2015-10-22T2230,2015-10-22T2240,E,N,SGD,614.0,231.0,845.0
385,836,Onward,Qatar Airways,DOH,BKK,2015-10-23T0215,2015-10-23T1240,E,N,SGD,614.0,231.0,845.0
386,837,Return,Qatar Airways,BKK,DOH,2015-10-30T0140,2015-10-30T0440,E,N,SGD,614.0,231.0,845.0
387,1024,Return,Qatar Airways,DOH,DXB,2015-10-30T0600,2015-10-30T0810,E,N,SGD,614.0,231.0,845.0
388,1019,Onward,Qatar Airways,DXB,DOH,2015-10-22T2230,2015-10-22T2240,E,N,SGD,614.0,231.0,845.0
389,836,Onward,Qatar Airways,DOH,BKK,2015-10-23T0215,2015-10-23T1240,E,N,SGD,614.0,231.0,845.0
390,837,Return,Qatar Airways,BKK,DOH,2015-10-30T0140,2015-10-30T0440,E,N,SGD,614.0,231.0,845.0
391,1028,Return,Qatar Airways,DOH,DWC,2015-10-30T0550,2015-10-30T0755,E,N,SGD,614.0,231.0,845.0
392,1021,Onward,Qatar Airways,DXB,DOH,2015-10-22T0530,2015-10-22T0540,E,N,SGD,614.0,231.0,845.0
393,832,Onward,Qatar Airways,DOH,BKK,2015-10-22T0840,2015-10-22T1905,E,N,SGD,614.0,231.0,845.0
394,831,Return,Qatar Airways,BKK,DOH,2015-10-30T0835,2015-10-30T1135,E,N,SGD,614.0,231.0,845.0
395,1016,Return,Qatar Airways,DOH,DXB,2015-10-30T1300,2015-10-30T1510,E,N,SGD,614.0,231.0,845.0
396,1021,Onward,Qatar Airways,DXB,DOH,2015-10-22T0530,2015-10-22T0540,E,N,SGD,614.0,231.0,845.0
397,832,Onward,Qatar Airways,DOH,BKK,2015-10-22T0840,2015-10-22T1905,E,N,SGD,614.0,231.0,845.0
398,833,Return,Qatar Airways,BKK,DOH,2015-10-30T2045,2015-10-30T2355,E,N,SGD,614.0,231.0,845.0
399,1002,Return,Qatar Airways,DOH,DXB,2015-10-31T0100,2015-10-31T0310,E,N,SGD,614.0,231.0,845.0
400,1021,Onward,Qatar Airways,DXB,DOH,2015-10-22T0530,2015-10-22T0540,E,N,SGD,614.0,231.0,845.0
401,832,Onward,Qatar Airways,DOH,BKK,2015-10-22T0840,2015-10-22T1905,E,N,SGD,614.0,231.0,845.0
402,833,Return,Qatar Airways,BKK,DOH,2015-10-30T2045,2015-10-30T2355,E,N,SGD,614.0,231.0,845.0
403,1004,Return,Qatar Airways,DOH,DXB,2015-10-31T0200,2015-10-31T0410,E,N,SGD,614.0,231.0,845.0
404,1021,Onward,Qatar Airways,DXB,DOH,2015-10-22T0530,2015-10-22T0540,E,N,SGD,614.0,231.0,845.0
405,832,Onward,Qatar Airways,DOH,BKK,2015-10-22T0840,2015-10-22T1905,E,N,SGD,614.0,231.0,845.0
406,833,Return,Qatar Airways,BKK,DOH,2015-10-30T2045,2015-10-30T2355,E,N,SGD,614.0,231.0,845.0
407,1032,Return,Qatar Airways,DOH,DWC,2015-10-31T0135,2015-10-31T0340,E,N,SGD,614.0,231.0,845.0
408,1021,Onward,Qatar Airways,DXB,DOH,2015-10-22T0530,2015-10-22T0540,E,N,SGD,614.0,231.0,845.0
409,832,Onward,Qatar Airways,DOH,BKK,2015-10-22T0840,2015-10-22T1905,E,N,SGD,614.0,231.0,845.0
410,835,Return,Qatar Airways,BKK,DOH,2015-10-30T1955,2015-10-30T2255,E,N,SGD,614.0,231.0,845.0
411,1002,Return,Qatar Airways,DOH,DXB,2015-10-31T0100,2015-10-31T0310,E,N,SGD,614.0,231.0,845.0
412,1021,Onward,Qatar Airways,DXB,DOH,2015-10-22T0530,2015-10-22T0540,E,N,SGD,614.0,231.0,845.0
413,832,Onward,Qatar Airways,DOH,BKK,2015-10-22T0840,2015-10-22T1905,E,N,SGD,614.0,231.0,845.0
414,835,Return,Qatar Airways,BKK,DOH,2015-10-30T1955,2015-10-30T2255,E,N,SGD,614.0,231.0,845.0
415,1020,Return,Qatar Airways,DOH,DXB,2015-10-30T2359,2015-10-31T0210,E,N,SGD,614.0,231.0,845.0
416,1021,Onward,Qatar Airways,DXB,DOH,2015-10-22T0530,2015-10-22T0540,E,N,SGD,614.0,231.0,845.0
417,832,Onward,Qatar Airways,DOH,BKK,2015-10-22T0840,2015-10-22T1905,E,N,SGD,614.0,231.0,845.0
418,835,Return,Qatar Airways,BKK,DOH,2015-10-30T1955,2015-10-30T2255,E,N,SGD,614.0,231.0,845.0
419,1032,Return,Qatar Airways,DOH,DWC,2015-10-31T0135,2015-10-31T0340,E,N,SGD,614.0,231.0,845.0
420,1021,Onward,Qatar Airways,DXB,DOH,2015-10-22T0530,2015-10-22T0540,E,N,SGD,614.0,231.0,845.0
421,832,Onward,Qatar Airways,DOH,BKK,2015-10-22T0840,2015-10-22T1905,E,N,SGD,614.0,231.0,845.0
422,837,Return,Qatar Airways,BKK,DOH,2015-10-30T0140,2015-10-30T0440,E,N,SGD,614.0,231.0,845.0
423,1000,Return,Qatar Airways,DOH,DXB,2015-10-30T0700,2015-10-30T0910,E,N,SGD,614.0,231.0,845.0
424,1021,Onward,Qatar Airways,DXB,DOH,2015-10-22T0530,2015-10-22T0540,E,N,SGD,614.0,231.0,845.0
425,832,Onward,Qatar Airways,DOH,BKK,2015-10-22T0840,2015-10-22T1905,E,N,SGD,614.0,231.0,845.0
426,837,Return,Qatar Airways,BKK,DOH,2015-10-30T0140,2015-10-30T0440,E,N,SGD,614.0,231.0,845.0
427,1024,Return,Qatar Airways,DOH,DXB,2015-10-30T0600,2015-10-30T0810,E,N,SGD,614.0,231.0,845.0
428,1021,Onward,Qatar Airways,DXB,DOH,2015-10-22T0530,2015-10-22T0540,E,N,SGD,614.0,231.0,845.0
429,832,Onward,Qatar Airways,DOH,BKK,2015-10-22T0840,2015-10-22T1905,E,N,SGD,614.0,231.0,845.0
430,837,Return,Qatar Airways,BKK,DOH,2015-10-30T0140,2015-10-30T0440,E,N,SGD,614.0,231.0,845.0
431,1028,Return,Qatar Airways,DOH,DWC,2015-10-30T0550,2015-10-30T0755,E,N,SGD,614.0,231.0,845.0
432,1027,Onward,Qatar Airways,DXB,DOH,2015-10-22T2130,2015-10-22T2140,E,N,SGD,614.0,231.0,845.0
433,836,Onward,Qatar Airways,DOH,BKK,2015-10-23T0215,2015-10-23T1240,E,N,SGD,614.0,231.0,845.0
434,831,Return,Qatar Airways,BKK,DOH,2015-10-30T0835,2015-10-30T1135,E,N,SGD,614.0,231.0,845.0
